name,parent,year,typeface,author,country,type,text,historical_movement,font_name
Invention of the printing press,,1440,Gutenberg invents the printing press,Johannes Gutenbergï¿½,Germany,movement,,,
Black-Letter,Invention of the printing press,1452,Bible Letura,Gutenburg,Germany,movement,"Black-Letter is a family of typefaces derivative of the Carolignian miniscule introduced during Charlemagne's  rule of the Holy Roman Empire. It was comissioned so the literate class between different regions could read the same Bible. Over time, as literacy increased, so did the demand for books. One foundry could no longer produce all of the books in the region so new operations began. This led to a decrease in standardization and thus the slow mutation from Carolignian miniscule to Black-Letter.",The Rule of Charlemagne,Fraktur
Serif,Oldstyle-Serif,1469,Roman,Jensen,Italy,movement,,,
Sans-Serif,Invention of the printing press,1748,National Trust,ÊPaul Barnes,UK,movement,"The Stourtan family of Wiltshire took trendy Neoclassicism a bit too far when they structured their estate to resemble scenes from Greek Mythology. They equipped their gardens with three temples, a pantheon, and created an artifical lake and path to evoke imagery of Aeneus's descent into the underworld. The first sans-serif font, National Trust, was inscribed into an artificial grotto spelling out the words of the epitath The Nymph of Spring. This is the first recorded occurance of sans-serif script since classical antiquity and it was meant to conjure an image of the time.",Neo-Classicism,Franklin
Oldstyle-Serif,Invention of the printing press,1465,Roman,Jensen,Italy ,movement,"During the Italian Renaissance, Felice Feliciano completed a study on the geometry of Roman inscriptions as a part of the Humanist movement's Roman revival. Shortly after, Nicolas Jensen was inspired by the same Ancient Roman inscriptions and created Roman, the first serif typeface.",The Italian Renaissance,Jensen
Transitional-Serif,Serif,1692,Roman du Roi,Louis Simonneau and Phillippe Grandjean,France,movement,"The evolution of serifs into transitional typefaces marked the beginning of modern typefaces. This class of typefaces, created during The Enlightenment, show the spirit of the movement in their adherence to Rationalism. Roman du Roi is the epitome of rational design. It favors a strict, logical mapping of each letter to an 8x8 grid.This contrasts with the developement of old style typefaces which gradually developed as they were passed down from engraver to engraver.",The Enlightenment,
Slab-Serif,Serif,1815,Antique,Vincent Figginsï¿½,UK,movement,"Following Napolean's campaign into Egypt in the early 1800s, the West plunged into a fit of Egyptomania. Napolean had brought 167 scholars on his campaign who returned with troves of new information on ancient Egypt.  An intense obsession with Egyptian culture followed: people decorated their homes with furniture modeled after Egyptian tombs and wallpaper reminiscent of the walls of an ancient temple. Marketers dubbed slab-serif fonts ""Egyptians"" despite having little connection to their writing system, and so slab-serif was able to reap the rewards of the trend.",Egyptomania,
Didone-Serif,Transitional-Serif,1784,Didot,Firmin Didot ,France ,movement,"As factories perfected mass produced type, the modern poster advertisement became increasingly popular. The pinncale of Didone type use occurred in the 1850s when advertisors needed a bold, eye-catching type legible from a distance. ",The Industrial Revolution,Bodoni
Grotesque,Sans-Serif,1816,ï¿½Two Lines English Egyptian,William Caslon IV,UK,movement,"First dubbed ""Grotesque"" by the typography world due to it's lack of serifs and unbalanced nature, the early sans-serif types were soon championed by Bauhaus as a part of their Art Nouveau Movement. They favored sans-serif fonts as their simplified forms were more applicable and useful than old ornamental fonts. They cared more about the clairity of the message than typography as an art form.",Art Nouveau Movement,
Neo-grotesque,Grotesque,1957,"Helvetica, Univers, Folio",,Switzerland,movement,"Emerging in the 1950s, Neo-grotesque type emphasized objectivity and neutrality. It was a reaction to the previous style to create ""beauty for the sake of beauty"" instead of valuing the function of type. This became increasingly important post-WWII as countries sought stronger, trade-focused relationships. International communication needed neutral glyphs which did not associate with a particular culture. Neo-grotesque typography filled this need by abiding by International Typographic Style.",International Typographic Style,
Geometric,Sans-Serif,1925,Erbar,Jakob Erbar,Germany,movement,"It wasn't until the 1970s that the perfect circle and square figures of geometric type became popular. With the invention of computers and the beginning of the space age, Futura and other geometric typefaces became associated with technological innovation. Futura was even the first typeface to make it to the moon aboard Apollo 11.",The Computer Age,
Humanist,Sans-Serif,1916,Johnston,Edward Johnston,UK,movement,"Traditionally used to describe the calligraphic typefaces created during the Renaissance, a Humanist revival occurred in the early 1900s as a backlash against the geometric designs popular in its day. Humanist designs were incredibly popular in the 1980s and 90s as a result of the invention of the computer. Low resolutions screens needed legible typefaces and humanist designs proved to be some of the easiest to read.",The Renaissance,
Baskerville,Transitional-Serif,1757,Baskerville,John Baskerville,UK,typeface,,,
Didot,Didone-Serif,1784,Didot,Firmon Didot,France,typeface,,,
Bodoni,Didone-Serif,1790,Bodoni,Giambattista Bodoni,Italy,typeface,,,
"Helvetica,",Neo-grotesque,1957,"Helvetica,",Max Miedinger,Switzerland,typeface,,,
Univers,Neo-grotesque,1957,Univers,Adrian Frutiger,France,typeface,,,
Folio,Neo-grotesque,1957,Folio,Konrad Bauerï¿½andï¿½Walter Baumï¿½,Germany,typeface,,,
Times New Roman,Transitional-Serif,1931,Times New Roman,Stanley Morison,UK,typeface,,,
Akzidenz Grotesk,Grotesque,1896,Akzidenz Grotesk,Bretholdï¿½Type Foundry,Germany,typeface,,,
Gotham,Geometric,2000,Gotham,Hoeflerï¿½and Frere- Jones,US,typeface,,,
Futura,Geometric,1927,Futura,Paul Renner,Germany,typeface,,,
Gill Sans,Humanist,1928,Gill Sans,Eric Gillï¿½,UK,typeface,,,
Frutiger,Humanist,1977,Frutiger,Adrian Frutiger,France,typeface,,,
Bembo,Oldstyle-Serif,1929,Bembo,Stanley Morison,UK,typeface,,,
Rockwell,Slab-Serif,1934,Rockwell,Monotype Foundry,US,typeface,,,
Franklin Gothic,Grotesque,1903,Franklin Gothic,Morris Fuller Benton,US,typeface,,,
Sabon,Oldstyle-Serif,1966,Sabon,Janï¿½Tschichold,Switzerland,typeface,,,
Georgia,Scotch-Roman,1993,Georgia,Matthew Carter,US,typeface,,,
Garamond,Oldstyle-Serif,1530,Garamond,Claude Garamond,France,typeface,,,
News Gothic,Grotesque,1908,News Gothic,Morris Fuller Benton,US,typeface,,,
Myriad,Humanist,1992,Myriad,"Robertï¿½Slimbach, Carolï¿½Twombly, Christopherï¿½Slyeï¿½and Fred Brady",US,typeface,,,
Civilite,Script,1536,Civilite,Robert Granjon,France,typeface,,,
Scotch-Roman,Didone-Serif,1813,Pica No. 2ï¿½,William Miller,UK,movement,,,
Italic,Script,1500,Italic,Aldus Manutius,Italy,typeface,,,
Caledonia,Scotch-Roman,1938,Caledonia,ï¿½William Addison Dwigginsï¿½,US,typeface,,,
Miller,Scotch-Roman,1997,Miller,Font Bureau,US,typeface,,,
Bank Gothic,Geometric,1930,Bank Gothic,ï¿½Morris Fuller Benton,US,typeface,,,
DIN 1451,Geometric,1931,DIN 1451,DIN Insitute,Germany,typeface,,,
Eurostile,Geometric,1962,Eurostile,ï¿½Aldo Novarese,Italy,typeface,,,
Handel Gothic,Geometric,1965,Handel Gothic,Donald J. Handel,US,typeface,,,
Optima,Humanist,1958,Optima,ï¿½Hermann Zapf,Germany,typeface,,,
Calibri,Humanist,2007,Calibri,ï¿½Luc(as) de Groot (Microsoft),US,typeface,,,
Verdana,Humanist,1996,Verdana,Matthew Carter (Microsoft),US,typeface,,,
Tahoma,Humanist,1994,Tahoma,Matthew Carter (Microsoft),US,typeface,,,
Roboto,Neo-grotesque,2011,Robto,Christian Robertson (Google),US,typeface,,,
San Francisco,Neo-grotesque,2014,San Francisco,Apple,US,typeface,,,
Rail Alphabet,Neo-grotesque,1965,Rail Alphabet,"Margaret Calvert,ï¿½Jock Kinneir",UK,typeface,,,
Unica,Neo-grotesque,1980,Unica,"Team_ï¿½77 (Andrï¿½ Gï¿½rtler, Christian Mengelt and Erich Gschwind",Switzerland,typeface,,,
Courier,Slab-Serif,1956,Courier,"Howard ""Bud"" Kettler",US,typeface,,,
Memphis,Slab-Serif,1929,Memphis,Dr. Rudolf Wolf,Germany,typeface,,,
Clarendon,Slab-Serif,1845,Clarendon,Robert Besley,UK,typeface,,,
Venus,Grotesque,1907,Venus,ï¿½Bauer Type Foundry,Germany,typeface,,,
Monotype Grotesuq,Grotesque,1926,Monotype Grotesuq,Frank Hinman Pierpont,UK,typeface,,,
Grotesque No. 9,Grotesque,1906,Grotesque No. 9,ï¿½Stephenson Blake,UK,typeface,,,
Walbaum,Didone-Serif,1800,Walbaum,Justus Erich Walbaum,Germany,typeface,,,
Computer Modern,Didone-Serif,1992,Computer Modern,Donald Knuth,US,typeface,,,
Century,Scotch-Roman,1894,Century,Linn Boyd Benton,US,typeface,,,
Script,Invention of the printing press,1500,Italics,Aldus Manutius,Italy,movement,The Script family of typefaces was first created by Aldus Manutius to imitate the cursive style of handwriting used in book-making at the time. The name Italics is a homage to the home of the typeface where it was used for small portable books that Roman type would not fit easily.,The Humanist Movement,Griffo
Arial,Neo-grotesque,1982,Arial,Robin Nicholas Patricia Saunders ,US,typeface,,,
Impact,Grotesque,1965,Impact,Geoffrey Lee,US,typeface,,,
Trebuchet,Humanist,1996,Trebuchet,Vincent Connare (Microsoft),US,typeface,,,
Cambria,Transitional-Serif,2004,Cambria,Jelle Bosma (Microsoft),US,typeface,,,
Comic Sans,Script,1994,Comic Sans,Vincent Connare (Microsoft),US,typeface,,,
Papyrus,Script,1982,Papyrus,Chris Costello,UK,typeface,,,
Chalkboard,Script,2003,Chalkboard,Apple,US,typeface,,,
